1
POLYGON((72964.5721497 55373.8497841,72964.5721497 55411.8497841,72966.5721497 55411.8497841,72966.5721497 55373.8497841,72964.5721497 55373.8497841))
POLYGON((468074.387366 297229.792238,468074.387366 297309.792238,468092.387366 297309.792238,468092.387366 297229.792238,468074.387366 297229.792238))
POLYGON((263997.600413 8335.49995836,263997.600413 8429.49995836,264034.600413 8429.49995836,264034.600413 8335.49995836,263997.600413 8335.49995836))
POLYGON((453524.19634 206810.685733,453524.19634 206902.685733,453538.19634 206902.685733,453538.19634 206810.685733,453524.19634 206810.685733))
POLYGON((166983.605276 473076.528622,166983.605276 473144.528622,167067.605276 473144.528622,167067.605276 473076.528622,166983.605276 473076.528622))
POLYGON((107214.366229 202669.372369,107214.366229 202701.372369,107305.366229 202701.372369,107305.366229 202669.372369,107214.366229 202669.372369))
POLYGON((384718.98112 195092.600616,384718.98112 195155.600616,384752.98112 195155.600616,384752.98112 195092.600616,384718.98112 195092.600616))
POLYGON((8409.35110247 241380.288935,8409.35110247 241430.288935,8498.35110247 241430.288935,8498.35110247 241380.288935,8409.35110247 241380.288935))
POLYGON((121798.204568 406902.533251,121798.204568 406956.533251,121846.204568 406956.533251,121846.204568 406902.533251,121798.204568 406902.533251))
POLYGON((47598.8608774 339110.274329,47598.8608774 339141.274329,47665.8608774 339141.274329,47665.8608774 339110.274329,47598.8608774 339110.274329))
POLYGON((175705.62949 151455.537024,175705.62949 151494.537024,175742.62949 151494.537024,175742.62949 151455.537024,175705.62949 151455.537024))
POLYGON((398034.184809 39136.5625939,398034.184809 39174.5625939,398086.184809 39174.5625939,398086.184809 39136.5625939,398034.184809 39136.5625939))
POLYGON((45490.262502 33871.7764938,45490.262502 33873.7764938,45505.262502 33873.7764938,45505.262502 33871.7764938,45490.262502 33871.7764938))
POLYGON((20828.9895749 412794.565961,20828.9895749 412877.565961,20863.9895749 412877.565961,20863.9895749 412794.565961,20828.9895749 412794.565961))
POLYGON((188039.120874 341089.241735,188039.120874 341170.241735,188100.120874 341170.241735,188100.120874 341089.241735,188039.120874 341089.241735))
POLYGON((114036.590947 382617.387568,114036.590947 382670.387568,114087.590947 382670.387568,114087.590947 382617.387568,114036.590947 382617.387568))
POLYGON((327873.468412 455937.016492,327873.468412 455977.016492,327962.468412 455977.016492,327962.468412 455937.016492,327873.468412 455937.016492))
POLYGON((317081.975188 204500.513614,317081.975188 204538.513614,317112.975188 204538.513614,317112.975188 204500.513614,317081.975188 204500.513614))
POLYGON((121561.878568 217894.41146,121561.878568 217970.41146,121567.878568 217970.41146,121567.878568 217894.41146,121561.878568 217894.41146))
POLYGON((320292.695679 159060.035137,320292.695679 159075.035137,320357.695679 159075.035137,320357.695679 159060.035137,320292.695679 159060.035137))
POLYGON((328061.577012 56974.5245486,328061.577012 57053.5245486,328124.577012 57053.5245486,328124.577012 56974.5245486,328061.577012 56974.5245486))
POLYGON((36327.1471149 229891.404087,36327.1471149 229963.404087,36409.1471149 229963.404087,36409.1471149 229891.404087,36327.1471149 229891.404087))
POLYGON((184713.67748 275333.41203,184713.67748 275387.41203,184719.67748 275387.41203,184719.67748 275333.41203,184713.67748 275333.41203))
POLYGON((47149.4203414 238852.884563,47149.4203414 238911.884563,47227.4203414 238911.884563,47227.4203414 238852.884563,47149.4203414 238852.884563))
POLYGON((38092.9579177 136255.177191,38092.9579177 136276.177191,38094.9579177 136276.177191,38094.9579177 136255.177191,38092.9579177 136255.177191))
POLYGON((93570.4123342 127208.177758,93570.4123342 127263.177758,93587.4123342 127263.177758,93587.4123342 127208.177758,93570.4123342 127208.177758))
POLYGON((424214.95587 340554.520761,424214.95587 340554.620761,424227.95587 340554.620761,424227.95587 340554.520761,424214.95587 340554.520761))
POLYGON((226428.161031 472218.764276,226428.161031 472278.764276,226492.161031 472278.764276,226492.161031 472218.764276,226428.161031 472218.764276))
POLYGON((150529.854973 33119.5243172,150529.854973 33207.5243172,150581.854973 33207.5243172,150581.854973 33119.5243172,150529.854973 33119.5243172))
POLYGON((115471.716624 348379.204899,115471.716624 348460.204899,115508.716624 348460.204899,115508.716624 348379.204899,115471.716624 348379.204899))
POLYGON((373972.9746 456653.439006,373972.9746 456696.439006,373993.9746 456696.439006,373993.9746 456653.439006,373972.9746 456653.439006))
POLYGON((384723.607766 447440.8064,384723.607766 447441.8064,384801.607766 447441.8064,384801.607766 447440.8064,384723.607766 447440.8064))
POLYGON((37522.9249688 188084.262761,37522.9249688 188138.262761,37537.9249688 188138.262761,37537.9249688 188084.262761,37522.9249688 188084.262761))
POLYGON((237412.182496 40376.644691,237412.182496 40466.644691,237422.182496 40466.644691,237422.182496 40376.644691,237412.182496 40376.644691))
POLYGON((214339.657531 412121.474602,214339.657531 412160.474602,214392.657531 412160.474602,214392.657531 412121.474602,214339.657531 412121.474602))
POLYGON((310231.091575 276046.440667,310231.091575 276097.440667,310241.091575 276097.440667,310241.091575 276046.440667,310231.091575 276046.440667))
POLYGON((397516.8248 483545.405805,397516.8248 483554.405805,397520.8248 483554.405805,397520.8248 483545.405805,397516.8248 483545.405805))
POLYGON((355027.940062 485394.736235,355027.940062 485432.736235,355098.940062 485432.736235,355098.940062 485394.736235,355027.940062 485394.736235))
POLYGON((100715.153879 489592.381448,100715.153879 489601.381448,100805.153879 489601.381448,100805.153879 489592.381448,100715.153879 489592.381448))
POLYGON((291900.946229 372220.473194,291900.946229 372270.473194,291915.946229 372270.473194,291915.946229 372220.473194,291900.946229 372220.473194))
POLYGON((31597.5193076 156543.004111,31597.5193076 156568.004111,31609.5193076 156568.004111,31609.5193076 156543.004111,31597.5193076 156543.004111))
POLYGON((498429.902543 412161.866495,498429.902543 412181.866495,498454.902543 412181.866495,498454.902543 412161.866495,498429.902543 412161.866495))
POLYGON((339465.094233 254015.304338,339465.094233 254081.304338,339468.094233 254081.304338,339468.094233 254015.304338,339465.094233 254015.304338))
POLYGON((158156.105932 155763.379433,158156.105932 155851.379433,158156.205932 155851.379433,158156.205932 155763.379433,158156.105932 155763.379433))
POLYGON((491189.809918 251403.337145,491189.809918 251422.337145,491235.809918 251422.337145,491235.809918 251403.337145,491189.809918 251403.337145))
POLYGON((90368.7291978 382509.019579,90368.7291978 382542.019579,90440.7291978 382542.019579,90440.7291978 382509.019579,90368.7291978 382509.019579))
POLYGON((360811.37744 471750.120334,360811.37744 471771.120334,360852.37744 471771.120334,360852.37744 471750.120334,360811.37744 471750.120334))
POLYGON((116993.211695 65675.9699357,116993.211695 65763.9699357,117041.211695 65763.9699357,117041.211695 65675.9699357,116993.211695 65675.9699357))
POLYGON((358537.825592 164892.023309,358537.825592 164941.023309,358538.825592 164941.023309,358538.825592 164892.023309,358537.825592 164892.023309))
POLYGON((72958.0698952 464812.675591,72958.0698952 464905.675591,73011.0698952 464905.675591,73011.0698952 464812.675591,72958.0698952 464812.675591))
POLYGON((185658.081102 490003.825339,185658.081102 490078.825339,185683.081102 490078.825339,185683.081102 490003.825339,185658.081102 490003.825339))
POLYGON((259001.094766 251977.750492,259001.094766 252015.750492,259017.094766 252015.750492,259017.094766 251977.750492,259001.094766 251977.750492))
POLYGON((459837.011709 144896.244626,459837.011709 144993.244626,459858.011709 144993.244626,459858.011709 144896.244626,459837.011709 144896.244626))
POLYGON((293829.710251 370928.951656,293829.710251 371010.951656,293896.710251 371010.951656,293896.710251 370928.951656,293829.710251 370928.951656))
POLYGON((368265.719618 373505.744533,368265.719618 373552.744533,368289.719618 373552.744533,368289.719618 373505.744533,368265.719618 373505.744533))
POLYGON((125153.941638 19722.1682896,125153.941638 19785.1682896,125246.941638 19785.1682896,125246.941638 19722.1682896,125153.941638 19722.1682896))
POLYGON((154728.902814 208236.766404,154728.902814 208332.766404,154732.902814 208332.766404,154732.902814 208236.766404,154728.902814 208236.766404))
POLYGON((151508.604614 290327.128895,151508.604614 290328.128895,151605.604614 290328.128895,151605.604614 290327.128895,151508.604614 290327.128895))
POLYGON((473498.858634 223821.936658,473498.858634 223867.936658,473500.858634 223867.936658,473500.858634 223821.936658,473498.858634 223821.936658))
POLYGON((69235.1972057 76541.5404225,69235.1972057 76552.5404225,69243.1972057 76552.5404225,69243.1972057 76541.5404225,69235.1972057 76541.5404225))
POLYGON((169105.688344 309760.475041,169105.688344 309826.475041,169172.688344 309826.475041,169172.688344 309760.475041,169105.688344 309760.475041))
POLYGON((448459.08646 392135.789378,448459.08646 392217.789378,448488.08646 392217.789378,448488.08646 392135.789378,448459.08646 392135.789378))
POLYGON((32103.0831096 79401.2345846,32103.0831096 79422.2345846,32138.0831096 79422.2345846,32138.0831096 79401.2345846,32103.0831096 79401.2345846))
POLYGON((191449.587987 367365.293101,191449.587987 367387.293101,191481.587987 367387.293101,191481.587987 367365.293101,191449.587987 367365.293101))
POLYGON((366266.882217 83914.9554958,366266.882217 83932.9554958,366303.882217 83932.9554958,366303.882217 83914.9554958,366266.882217 83914.9554958))
POLYGON((278155.882015 20841.5640269,278155.882015 20939.5640269,278210.882015 20939.5640269,278210.882015 20841.5640269,278155.882015 20841.5640269))
POLYGON((35766.4980129 169258.273741,35766.4980129 169323.273741,35826.4980129 169323.273741,35826.4980129 169258.273741,35766.4980129 169258.273741))
POLYGON((272285.218656 183883.18229,272285.218656 183946.18229,272347.218656 183946.18229,272347.218656 183883.18229,272285.218656 183883.18229))
POLYGON((467768.648847 285379.194712,467768.648847 285437.194712,467855.648847 285437.194712,467855.648847 285379.194712,467768.648847 285379.194712))
POLYGON((392895.612522 321307.579718,392895.612522 321339.579718,392956.612522 321339.579718,392956.612522 321307.579718,392895.612522 321307.579718))
POLYGON((145749.516621 46337.4404723,145749.516621 46411.4404723,145753.516621 46411.4404723,145753.516621 46337.4404723,145749.516621 46337.4404723))
POLYGON((442600.993105 196106.049848,442600.993105 196110.049848,442603.993105 196110.049848,442603.993105 196106.049848,442600.993105 196106.049848))
POLYGON((384657.519554 49924.3515251,384657.519554 49990.3515251,384667.519554 49990.3515251,384667.519554 49924.3515251,384657.519554 49924.3515251))
POLYGON((143497.117882 341831.950257,143497.117882 341835.950257,143560.117882 341835.950257,143560.117882 341831.950257,143497.117882 341831.950257))
POLYGON((126032.249576 464232.446323,126032.249576 464237.446323,126033.249576 464237.446323,126033.249576 464232.446323,126032.249576 464232.446323))
POLYGON((494240.807878 42914.183564,494240.807878 42960.183564,494298.807878 42960.183564,494298.807878 42914.183564,494240.807878 42914.183564))
POLYGON((457153.669936 145629.271097,457153.669936 145719.271097,457164.669936 145719.271097,457164.669936 145629.271097,457153.669936 145629.271097))
POLYGON((134719.863529 328118.905326,134719.863529 328186.905326,134735.863529 328186.905326,134735.863529 328118.905326,134719.863529 328118.905326))
POLYGON((178784.196564 72433.7532974,178784.196564 72467.7532974,178826.196564 72467.7532974,178826.196564 72433.7532974,178784.196564 72433.7532974))
POLYGON((106027.441653 254901.447114,106027.441653 254935.447114,106047.441653 254935.447114,106047.441653 254901.447114,106027.441653 254901.447114))
POLYGON((425123.387866 212828.954987,425123.387866 212871.954987,425144.387866 212871.954987,425144.387866 212828.954987,425123.387866 212828.954987))
POLYGON((331186.786298 75559.5650793,331186.786298 75649.5650793,331246.786298 75649.5650793,331246.786298 75559.5650793,331186.786298 75559.5650793))
POLYGON((124570.360217 389673.922263,124570.360217 389715.922263,124592.360217 389715.922263,124592.360217 389673.922263,124570.360217 389673.922263))
POLYGON((246947.876173 286942.159541,246947.876173 286977.159541,246952.876173 286977.159541,246952.876173 286942.159541,246947.876173 286942.159541))
POLYGON((58709.4178121 291208.127631,58709.4178121 291231.127631,58759.4178121 291231.127631,58759.4178121 291208.127631,58709.4178121 291208.127631))
POLYGON((369626.057037 456715.458025,369626.057037 456733.458025,369709.057037 456733.458025,369709.057037 456715.458025,369626.057037 456715.458025))
POLYGON((84818.2955667 155926.696139,84818.2955667 155944.696139,84867.2955667 155944.696139,84867.2955667 155926.696139,84818.2955667 155926.696139))
POLYGON((446360.504374 180777.462779,446360.504374 180871.462779,446407.504374 180871.462779,446407.504374 180777.462779,446360.504374 180777.462779))
POLYGON((355208.37071 496679.119143,355208.37071 496767.119143,355251.37071 496767.119143,355251.37071 496679.119143,355208.37071 496679.119143))
POLYGON((443063.28585 466778.064772,443063.28585 466875.064772,443110.28585 466875.064772,443110.28585 466778.064772,443063.28585 466778.064772))
POLYGON((209922.431334 110868.179871,209922.431334 110903.179871,209975.431334 110903.179871,209975.431334 110868.179871,209922.431334 110868.179871))
POLYGON((449589.052332 19813.8289158,449589.052332 19857.8289158,449680.052332 19857.8289158,449680.052332 19813.8289158,449589.052332 19813.8289158))
POLYGON((311065.737279 396731.974243,311065.737279 396752.974243,311071.737279 396752.974243,311071.737279 396731.974243,311065.737279 396731.974243))
POLYGON((373090.017683 210073.873628,373090.017683 210085.873628,373102.017683 210085.873628,373102.017683 210073.873628,373090.017683 210073.873628))
POLYGON((360357.723684 441662.549884,360357.723684 441759.549884,360360.723684 441759.549884,360360.723684 441662.549884,360357.723684 441662.549884))
POLYGON((424253.551618 338094.411868,424253.551618 338129.411868,424261.551618 338129.411868,424261.551618 338094.411868,424253.551618 338094.411868))
POLYGON((315922.251446 348362.719392,315922.251446 348414.719392,315974.251446 348414.719392,315974.251446 348362.719392,315922.251446 348362.719392))
POLYGON((250243.580448 179471.557068,250243.580448 179536.557068,250315.580448 179536.557068,250315.580448 179471.557068,250243.580448 179471.557068))
POLYGON((354933.864161 385025.104897,354933.864161 385071.104897,354997.864161 385071.104897,354997.864161 385025.104897,354933.864161 385025.104897))
POLYGON((138805.094534 367953.560934,138805.094534 368044.560934,138829.094534 368044.560934,138829.094534 367953.560934,138805.094534 367953.560934))
POLYGON((193633.6457 256634.254724,193633.6457 256722.254724,193681.6457 256722.254724,193681.6457 256634.254724,193633.6457 256634.254724))
POLYGON((82564.1048975 197494.487839,82564.1048975 197537.487839,82587.1048975 197537.487839,82587.1048975 197494.487839,82564.1048975 197494.487839))
POLYGON((350010.613585 56615.4487704,350010.613585 56690.4487704,350025.613585 56690.4487704,350025.613585 56615.4487704,350010.613585 56615.4487704))
POLYGON((373395.172723 17317.7472725,373395.172723 17407.7472725,373441.172723 17407.7472725,373441.172723 17317.7472725,373395.172723 17317.7472725))
POLYGON((145112.921223 466186.139484,145112.921223 466245.139484,145192.921223 466245.139484,145192.921223 466186.139484,145112.921223 466186.139484))
POLYGON((88891.0422744 488414.076645,88891.0422744 488478.076645,88982.0422744 488478.076645,88982.0422744 488414.076645,88891.0422744 488414.076645))
POLYGON((97240.0993407 364055.058876,97240.0993407 364088.058876,97310.0993407 364088.058876,97310.0993407 364055.058876,97240.0993407 364055.058876))
POLYGON((342917.114989 31563.7062673,342917.114989 31649.7062673,343012.114989 31649.7062673,343012.114989 31563.7062673,342917.114989 31563.7062673))
POLYGON((277289.38566 75885.0082302,277289.38566 75960.0082302,277326.38566 75960.0082302,277326.38566 75885.0082302,277289.38566 75885.0082302))
POLYGON((277711.159571 145878.004581,277711.159571 145935.004581,277716.159571 145935.004581,277716.159571 145878.004581,277711.159571 145878.004581))
POLYGON((305634.32322 415677.738818,305634.32322 415702.738818,305637.32322 415702.738818,305637.32322 415677.738818,305634.32322 415677.738818))
POLYGON((345200.07557 277750.86933,345200.07557 277762.86933,345274.07557 277762.86933,345274.07557 277750.86933,345200.07557 277750.86933))
POLYGON((220062.201684 244128.921262,220062.201684 244179.921262,220093.201684 244179.921262,220093.201684 244128.921262,220062.201684 244128.921262))
POLYGON((136438.67761 428271.626361,136438.67761 428284.626361,136471.67761 428284.626361,136471.67761 428271.626361,136438.67761 428271.626361))
POLYGON((137801.664332 452497.061348,137801.664332 452530.061348,137882.664332 452530.061348,137882.664332 452497.061348,137801.664332 452497.061348))
POLYGON((105555.111851 158267.342597,105555.111851 158292.342597,105571.111851 158292.342597,105571.111851 158267.342597,105555.111851 158267.342597))
POLYGON((196232.986632 58135.0976027,196232.986632 58164.0976027,196285.986632 58164.0976027,196285.986632 58135.0976027,196232.986632 58135.0976027))
POLYGON((484612.638764 336675.772483,484612.638764 336765.772483,484622.638764 336765.772483,484622.638764 336675.772483,484612.638764 336675.772483))
POLYGON((379174.183229 493415.820583,379174.183229 493451.820583,379187.183229 493451.820583,379187.183229 493415.820583,379174.183229 493415.820583))
POLYGON((495922.699398 455091.20895,495922.699398 455126.20895,495987.699398 455126.20895,495987.699398 455091.20895,495922.699398 455091.20895))
POLYGON((189399.129888 451191.184945,189399.129888 451240.184945,189451.129888 451240.184945,189451.129888 451191.184945,189399.129888 451191.184945))
POLYGON((136867.455659 428806.944397,136867.455659 428851.944397,136905.455659 428851.944397,136905.455659 428806.944397,136867.455659 428806.944397))
POLYGON((65088.2014341 212756.886946,65088.2014341 212823.886946,65106.2014341 212823.886946,65106.2014341 212756.886946,65088.2014341 212756.886946))
POLYGON((438167.01319 147906.307677,438167.01319 147932.307677,438246.01319 147932.307677,438246.01319 147906.307677,438167.01319 147906.307677))
POLYGON((367090.6752 127835.549497,367090.6752 127850.549497,367104.6752 127850.549497,367104.6752 127835.549497,367090.6752 127835.549497))
POLYGON((182984.780313 252712.041869,182984.780313 252778.041869,183026.780313 252778.041869,183026.780313 252712.041869,182984.780313 252712.041869))
POLYGON((190050.171452 400884.694707,190050.171452 400918.694707,190096.171452 400918.694707,190096.171452 400884.694707,190050.171452 400884.694707))
POLYGON((87076.8052726 435319.685192,87076.8052726 435361.685192,87092.8052726 435361.685192,87092.8052726 435319.685192,87076.8052726 435319.685192))
POLYGON((127531.545764 219689.493931,127531.545764 219783.493931,127614.545764 219783.493931,127614.545764 219689.493931,127531.545764 219689.493931))
POLYGON((34576.0230292 140676.268786,34576.0230292 140722.268786,34672.0230292 140722.268786,34672.0230292 140676.268786,34576.0230292 140676.268786))
POLYGON((81098.3208868 461623.645061,81098.3208868 461677.645061,81118.3208868 461677.645061,81118.3208868 461623.645061,81098.3208868 461623.645061))
POLYGON((15980.4573139 5186.3572254,15980.4573139 5271.3572254,15982.4573139 5271.3572254,15982.4573139 5186.3572254,15980.4573139 5186.3572254))
POLYGON((319920.062883 499367.396033,319920.062883 499401.396033,319934.062883 499401.396033,319934.062883 499367.396033,319920.062883 499367.396033))
POLYGON((94202.2824803 245122.255027,94202.2824803 245211.255027,94238.2824803 245211.255027,94238.2824803 245122.255027,94202.2824803 245122.255027))
POLYGON((337038.655717 492188.452758,337038.655717 492224.452758,337103.655717 492224.452758,337103.655717 492188.452758,337038.655717 492188.452758))
POLYGON((265008.736321 211629.61649,265008.736321 211706.61649,265016.736321 211706.61649,265016.736321 211629.61649,265008.736321 211629.61649))
POLYGON((486133.430946 43650.0341543,486133.430946 43678.0341543,486166.430946 43678.0341543,486166.430946 43650.0341543,486133.430946 43650.0341543))
POLYGON((314553.458922 11157.1725669,314553.458922 11170.1725669,314617.458922 11170.1725669,314617.458922 11157.1725669,314553.458922 11157.1725669))
POLYGON((348031.090553 439432.748258,348031.090553 439460.748258,348101.090553 439460.748258,348101.090553 439432.748258,348031.090553 439432.748258))
POLYGON((495600.324847 50271.3959873,495600.324847 50325.3959873,495690.324847 50325.3959873,495690.324847 50271.3959873,495600.324847 50271.3959873))
POLYGON((86321.5749146 166084.769561,86321.5749146 166177.769561,86380.5749146 166177.769561,86380.5749146 166084.769561,86321.5749146 166084.769561))
POLYGON((399429.577358 454061.896494,399429.577358 454120.896494,399438.577358 454120.896494,399438.577358 454061.896494,399429.577358 454061.896494))
POLYGON((48985.1858598 111604.137022,48985.1858598 111696.137022,49037.1858598 111696.137022,49037.1858598 111604.137022,48985.1858598 111604.137022))
POLYGON((191624.01778 396513.135142,191624.01778 396594.135142,191698.01778 396594.135142,191698.01778 396513.135142,191624.01778 396513.135142))
POLYGON((286733.447895 416782.690321,286733.447895 416820.690321,286765.447895 416820.690321,286765.447895 416782.690321,286733.447895 416782.690321))
POLYGON((25437.2841857 12023.196827,25437.2841857 12115.196827,25529.2841857 12115.196827,25529.2841857 12023.196827,25437.2841857 12023.196827))
POLYGON((114067.975898 247102.555461,114067.975898 247129.555461,114069.975898 247129.555461,114069.975898 247102.555461,114067.975898 247102.555461))
POLYGON((400010.870144 286960.513604,400010.870144 287037.513604,400051.870144 287037.513604,400051.870144 286960.513604,400010.870144 286960.513604))
POLYGON((358073.709052 171143.713367,358073.709052 171147.713367,358138.709052 171147.713367,358138.709052 171143.713367,358073.709052 171143.713367))
POLYGON((52947.0551769 44650.8251397,52947.0551769 44726.8251397,53008.0551769 44726.8251397,53008.0551769 44650.8251397,52947.0551769 44650.8251397))
POLYGON((431876.579197 109012.279773,431876.579197 109039.279773,431925.579197 109039.279773,431925.579197 109012.279773,431876.579197 109012.279773))
POLYGON((378212.323664 211510.946125,378212.323664 211593.946125,378267.323664 211593.946125,378267.323664 211510.946125,378212.323664 211510.946125))
POLYGON((34430.3427865 87120.0368463,34430.3427865 87178.0368463,34521.3427865 87178.0368463,34521.3427865 87120.0368463,34430.3427865 87120.0368463))
